VARIANT	REF	WORKTREE	PATH	FAMILY	SCOPE	SAME_AS	PASS_1	PASS_2	PASS_3	DRIFT	NOTE
codex/held-reference-corpus:.github/workflows/benchmarks.yml	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	.github/workflows/benchmarks.yml	build, bindings, typing, CI, scripts, tools, and executable documentation	included	codex/auditor-convergence-sdd:.github/workflows/benchmarks.yml | codex/sdd-coherence:.github/workflows/benchmarks.yml | codex/exact-certified-adaptive-phase1-t9-zero-guide:.github/workflows/benchmarks.yml	not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
main:.github/workflows/build.yml	main | jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation | jf/update_reconstruction_example	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	.github/workflows/build.yml	build, bindings, typing, CI, scripts, tools, and executable documentation	included	jf/toolpath-redesign:.github/workflows/build.yml | codex/held-reference-corpus:.github/workflows/build.yml | codex/auditor-convergence-sdd:.github/workflows/build.yml | codex/sdd-coherence:.github/workflows/build.yml | codex/exact-certified-adaptive-phase1-t9-zero-guide:.github/workflows/build.yml | perf/exact-rational-representation:.github/workflows/build.yml | jf/update_reconstruction_example:.github/workflows/build.yml	not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
origin/add-claude-github-actions-1765379221373:.github/workflows/claude-code-review.yml	origin/add-claude-github-actions-1765379221373	none	.github/workflows/claude-code-review.yml	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
origin/add-claude-github-actions-1765379221373:.github/workflows/claude.yml	origin/add-claude-github-actions-1765379221373	none	.github/workflows/claude.yml	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
main:.github/workflows/docs.yml	main | jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation | jf/update_reconstruction_example	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	.github/workflows/docs.yml	build, bindings, typing, CI, scripts, tools, and executable documentation	included	jf/toolpath-redesign:.github/workflows/docs.yml | codex/held-reference-corpus:.github/workflows/docs.yml | codex/auditor-convergence-sdd:.github/workflows/docs.yml | codex/sdd-coherence:.github/workflows/docs.yml | codex/exact-certified-adaptive-phase1-t9-zero-guide:.github/workflows/docs.yml | perf/exact-rational-representation:.github/workflows/docs.yml | jf/update_reconstruction_example:.github/workflows/docs.yml	not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
main:.github/workflows/pr-checks.yml	main | jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation | jf/update_reconstruction_example	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	.github/workflows/pr-checks.yml	build, bindings, typing, CI, scripts, tools, and executable documentation	included	jf/toolpath-redesign:.github/workflows/pr-checks.yml | codex/held-reference-corpus:.github/workflows/pr-checks.yml | codex/auditor-convergence-sdd:.github/workflows/pr-checks.yml | codex/sdd-coherence:.github/workflows/pr-checks.yml | codex/exact-certified-adaptive-phase1-t9-zero-guide:.github/workflows/pr-checks.yml | perf/exact-rational-representation:.github/workflows/pr-checks.yml | jf/update_reconstruction_example:.github/workflows/pr-checks.yml	not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
main:.github/workflows/release.yml	main | jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation | jf/update_reconstruction_example	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	.github/workflows/release.yml	build, bindings, typing, CI, scripts, tools, and executable documentation	included	jf/toolpath-redesign:.github/workflows/release.yml | codex/held-reference-corpus:.github/workflows/release.yml | codex/auditor-convergence-sdd:.github/workflows/release.yml | codex/sdd-coherence:.github/workflows/release.yml | codex/exact-certified-adaptive-phase1-t9-zero-guide:.github/workflows/release.yml | perf/exact-rational-representation:.github/workflows/release.yml | jf/update_reconstruction_example:.github/workflows/release.yml	not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
codex/held-reference-corpus:.superpowers/sdd/2026-08-23-auditor-convergence-p1-truthful-audit/task-3-report.md	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	.superpowers/sdd/2026-08-23-auditor-convergence-p1-truthful-audit/task-3-report.md	build, bindings, typing, CI, scripts, tools, and executable documentation	included	codex/auditor-convergence-sdd:.superpowers/sdd/2026-08-23-auditor-convergence-p1-truthful-audit/task-3-report.md | codex/sdd-coherence:.superpowers/sdd/2026-08-23-auditor-convergence-p1-truthful-audit/task-3-report.md	not-started	not-started	not-started	clean	Tracked first-party textual variant; Cross-family dependency: executable support boundary for reviewed product families
jf/toolpath-redesign:CLAUDE.md	jf/toolpath-redesign	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs	CLAUDE.md	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
codex/held-reference-corpus:CLAUDE.md	codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation	codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	CLAUDE.md	build, bindings, typing, CI, scripts, tools, and executable documentation	included	codex/auditor-convergence-sdd:CLAUDE.md | codex/sdd-coherence:CLAUDE.md | codex/exact-certified-adaptive-phase1-t9-zero-guide:CLAUDE.md | perf/exact-rational-representation:CLAUDE.md	not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
codex/sdd-coherence:CMakeLists.txt	codex/sdd-coherence	codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	CMakeLists.txt	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
codex/exact-certified-adaptive-phase1-t9-zero-guide:CMakeLists.txt	codex/exact-certified-adaptive-phase1-t9-zero-guide	none	CMakeLists.txt	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
perf/exact-rational-representation:CMakeLists.txt	perf/exact-rational-representation	none	CMakeLists.txt	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
jf/update_reconstruction_example:CMakeLists.txt	jf/update_reconstruction_example	none	CMakeLists.txt	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
origin/main:CMakeLists.txt	origin/main	none	CMakeLists.txt	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
origin/jf/polylines:CMakeLists.txt	origin/jf/polylines	none	CMakeLists.txt	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
jf/toolpath-redesign:INTEGRATECODEX.md	jf/toolpath-redesign	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs	INTEGRATECODEX.md	build, bindings, typing, CI, scripts, tools, and executable documentation	included		not-started	not-started	not-started	clean	Cross-family dependency: executable support boundary for reviewed product families
jf/toolpath-redesign:benchmarks/__init__.py	jf/toolpath-redesign | codex/held-reference-corpus | codex/auditor-convergence-sdd | codex/sdd-coherence | codex/exact-certified-adaptive-phase1-t9-zero-guide | perf/exact-rational-representation	jf/toolpath-redesign=/Users/jelle/Code/CADCAM/compas_cgal_prs | codex/held-reference-corpus=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-held-reference-corpus | codex/auditor-convergence-sdd=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-auditor-convergence-sdd | codex/sdd-coherence=/Users/jelle/Code/CADCAM/worktrees/compas_cgal_prs-sdd-coherence	benchmarks/__init__.py	benchmarks, quality metrics, comparison, and visualization	included	codex/held-reference-corpus:benchmarks/__init__.py | codex/auditor-convergence-sdd:benchmarks/__init__.py | codex/sdd-coherence:benchmarks/__init__.py | codex/exact-certified-adaptive-phase1-t9-zero-guide:benchmarks/__init__.py | perf/exact-rational-representation:benchmarks/__init__.py	not-started	not-started	not-started	clean	Cross-family dependency: measured capability resolved during Pass 1
